id,airport_name,city_name,country,iata_code,icao_code,latitude,longitude,type,scheduled_service,source
302537,Efogi Airport,Efogi,Papua New Guinea,EFG,AYEF,-9.15380555556,147.659805556,small_airport,no,OurAirports
306957,Morehead Airport,Morehead,Papua New Guinea,MHY,AYEH,-8.71411111111,141.644444444,small_airport,no,OurAirports
311132,Eliptamin Airport,Eliptamin,Papua New Guinea,EPT,AYEL,-5.0412,141.6779,small_airport,no,OurAirports
311202,Engati Airstrip,Engati,Papua New Guinea,EGA,AYEN,-6.9179,146.1053,small_airport,no,OurAirports
311200,Emo River Airstrip,Emo Mission,Papua New Guinea,EMO,AYEO,-9.1234,148.0415,small_airport,no,OurAirports
311205,Erume Airport,Erume,Papua New Guinea,ERU,AYER,-8.2538,146.9747,small_airport,no,OurAirports
313974,Meselia Airport,Demgulu,Papua New Guinea,MFZ,AYES,-6.1364,149.1183,small_airport,no,OurAirports
301979,Bosset Airport,Bosset,Papua New Guinea,BOT,AYET,-7.237257,141.1063222,small_airport,yes,OurAirports
46175,Erave Airport,Erave,Papua New Guinea,ERE,AYEV,-6.60646315446,143.900213242,small_airport,no,OurAirports
307647,Siwea Airport,Siwea,Papua New Guinea,SWE,AYEW,-6.284181,147.582371,small_airport,no,OurAirports
307150,Fane Airport,Fane Mission,Papua New Guinea,FNE,AYFA,-8.54927777778,147.085833333,small_airport,no,OurAirports
311370,Feramin Airport,Feramin,Papua New Guinea,FRQ,,-5.208,141.6988,small_airport,no,OurAirports
46177,Finschhafen Airport,Buki,Papua New Guinea,FIN,AYFI,-6.621750109,147.85405,small_airport,no,OurAirports
